ZONE,COUNTRY
Pacific/Auckland,New Zealand
America/New_York,United States
Asia/Shanghai,China
America/Chicago,United States
America/Sao_Paulo,Brazil
America/Los_Angeles,United States
Europe/London,Britain (UK)
Asia/Riyadh,Saudi Arabia
America/Mexico_City,Mexico
Etc/UTC,
Europe/Paris,France
Europe/Moscow,Russia
Asia/Manila,Philippines
Europe/Madrid,Spain
America/Bogota,Colombia
America/Toronto,Canada
Asia/Dubai,United Arab Emirates
GMT,
Australia/Sydney,Australia
Asia/Bangkok,Thailand
America/Santiago,Chile
America/Detroit,United States
Asia/Jerusalem,Israel
US/Pacific,
America/Denver,United States
Asia/Kuala_Lumpur,Malaysia
Asia/Jakarta,Indonesia
Europe/Brussels,Belgium
Europe/Berlin,Germany
Asia/Chongqing,China
Asia/Kuwait,Kuwait
America/Caracas,Venezuela
Europe/Amsterdam,Netherlands
Europe/Rome,Italy
Australia/Melbourne,Australia
Australia/Brisbane,Australia
Europe/Dublin,Ireland
Europe/Copenhagen,Denmark
America/Edmonton,Canada
America/Argentina/Buenos_Aires,Argentina
America/Montreal,
America/Phoenix,United States
Asia/Seoul,Korea (South)
Asia/Beirut,Lebanon
Europe/Stockholm,Sweden
America/Vancouver,Canada
Asia/Kolkata,India
Europe/Kiev,Ukraine
Asia/Tokyo,Japan
America/Monterrey,Mexico
Africa/Cairo,Egypt
Europe/Bucharest,Romania
Asia/Calcutta,
Australia/Perth,Australia
Asia/Singapore,Singapore
America/Indiana/Indianapolis,United States
Europe/Istanbul,Turkey
Europe/Warsaw,Poland
Asia/Hong_Kong,Hong Kong
Europe/Oslo,Norway
Asia/Harbin,China
US/Eastern,
America/Costa_Rica,Costa Rica
US/Central,
Asia/Taipei,Taiwan
Africa/Johannesburg,South Africa
America/Guayaquil,Ecuador
America/Fortaleza,Brazil
Asia/Yekaterinburg,Russia
America/Araguaina,Brazil
America/Puerto_Rico,Puerto Rico
Europe/Lisbon,Portugal
Europe/Athens,Greece
Europe/Zurich,Switzerland
Europe/Sofia,Bulgaria
Asia/Bahrain,Bahrain
America/Buenos_Aires,
America/Lima,Peru
Asia/Amman,Jordan
America/Tijuana,Mexico
America/Winnipeg,Canada
America/Recife,Brazil
Asia/Qatar,Qatar
Australia/Adelaide,Australia
America/Regina,Canada
America/Belem,Brazil
America/Santo_Domingo,Dominican Republic
America/Boise,United States
Pacific/Honolulu,United States
America/Manaus,Brazil
Europe/Helsinki,Finland
